label,Anatomy,,,Isomap-theta-123,,,Isomap-theta-dist-123,,,Q,Close-To-Center-Clustering,Close-To-Center-Distance-Clustering
166,47,12,-38,-39.13556573,-7.673633119,22.44482615,8.808014162,-2.263206974,1.710021086,1,2,2
167,-15,-24,73,49.45410906,-14.48295334,4.867609999,-9.959818658,-0.447378424,1.622707855,2,3,2
168,-45,-4,18,31.96162001,-8.938735559,9.507990073,-6.136587272,0.494178503,2.226309473,2,2,2
169,-23,-72,40,23.99445071,32.30875292,-15.30121228,-4.802464072,-0.874915053,-5.728095312,4,2,2
170,68,-49,9,-15.38775834,-2.185774311,9.330817855,4.383121424,-1.410513614,1.47587992,1,1,2
171,-57,-52,-4,9.31360978,12.78037883,-24.35389017,-3.042006298,2.623950529,-2.909104481,3,2,2
172,9,-77,-3,19.32805327,39.52673438,-6.346786185,-4.933008723,-1.655197482,-3.481127057,4,2,2
173,50,42,4,-2.816430911,-24.71877098,-35.1448239,0.395063699,8.071502743,-0.707259775,3,2,2
174,56,-10,12,35.9302654,-20.2063656,22.35725036,-9.852634904,0.715410721,2.991537191,2,2,2
175,33,56,6,-24.06019316,-14.92741491,-21.21625917,4.718179326,2.770291578,2.107440776,1,2,2
176,0,35,60,-27.96022467,-28.0533388,-7.789869644,8.783018167,3.056574713,2.056018635,1,2,2
177,-21,-38,3,13.25640468,20.71326137,43.99349874,-2.029814922,-3.567379011,1.270280763,4,2,2
178,-20,39,54,-42.11173311,-10.45680689,-3.82252596,10.73106089,0.944678694,-1.084669049,1,2,2
179,40,17,58,-33.78844724,-22.3467498,0.033474586,12.03292999,2.27895718,-0.877071371,1,2,3
180,39,-36,66,34.16522947,-28.28587125,1.182502275,-8.699118609,1.985060297,2.458533628,2,2,2
181,15,-89,28,27.054152,32.68356958,2.00433373,-8.410407419,-2.848796507,-4.181815848,4,2,2
182,-32,49,22,17.18796877,-14.52692254,-17.70589155,-4.050296536,3.670437049,0.377026294,3,2,2
183,-3,8,65,31.61320842,-7.131697652,-1.475707135,-8.78271052,0.521902939,1.374272539,2,2,2
184,-27,6,6,18.16537608,-2.187254382,15.73341547,-4.563071081,-1.839752386,2.073964747,2,2,2
185,-60,-12,24,44.89583193,-20.03822793,5.90460919,-10.03148339,2.751998125,0.169224419,2,2,2
186,-4,-61,62,22.8182115,23.72864285,-12.63470921,-5.105570574,-0.951496415,-5.747712586,4,2,2
187,43,38,-12,-29.47034917,-29.09211592,-6.947798184,5.752176654,3.403118539,3.348213658,1,2,2
188,48,-37,45,20.81798264,-6.234516531,-30.29949782,-4.43314356,6.530158961,-2.027836505,2,2,2
189,-40,-26,-18,2.607688863,24.61495856,4.127497584,-0.444877028,-3.906116533,-1.334453718,4,2,2
190,-16,-59,-26,-16.83280963,31.02532694,-10.10982407,2.058986778,0.964028836,-2.896611064,1,2,2
191,60,-5,-29,-36.92121217,-19.25318868,12.94242429,8.723266141,-1.251905158,2.416434548,1,2,2
192,9,-46,22,-36.4133555,10.48620766,20.20703776,7.491926096,-4.425216936,0.108555851,1,2,2
193,40,9,15,36.70904497,-13.9152152,-1.033017315,-6.668909872,2.259201532,1.788108129,2,2,2
194,31,-37,-40,-2.217192361,25.00679781,-15.41237353,0.804061403,0.454000281,-3.921200413,1,2,2
195,-18,-93,2,10.02040086,47.68092547,-10.61006397,-2.0685781,-3.195047331,-4.027114108,4,3,2
196,9,61,33,-35.85217047,-15.87129864,19.66568705,11.44946951,-2.41097146,0.943386066,1,2,3
197,4,21,27,26.50096127,-11.3058709,-1.841501653,-4.300838806,1.17409144,1.20954882,2,2,2
198,-60,-6,-11,-19.0800964,-2.160807533,33.97299537,5.956859351,-6.449701636,1.250653915,1,2,2
199,-51,7,20,37.61886627,-6.251746367,-11.55157566,-8.078584753,3.020919191,0.188852426,2,2,2
200,29,-52,-27,-3.49813477,29.57026089,-7.48871521,-1.67176528,-0.664454935,-2.634565196,1,2,2
201,51,-75,22,-3.55889747,29.2592769,7.518914938,1.42350524,-5.638814311,-3.680233338,4,2,2
202,-14,-13,-26,-20.04876665,14.24786359,26.32983741,5.561661877,-2.25621093,0.427334863,1,2,2
203,-10,-30,44,36.23136099,-7.956534915,-16.51039636,-6.841976344,2.593100137,-2.122486734,2,2,2
204,27,60,11,-22.93074565,-19.55270422,-5.107686191,6.378597615,1.150680303,1.702958997,1,2,2
205,34,-10,60,30.40986787,-20.55003982,1.752215972,-5.31185073,0.0798872,3.043722385,2,2,2
206,69,-28,5,-9.447594693,-22.47414909,22.7623296,3.455390415,-1.571367943,3.996834396,1,2,2
207,-23,17,-26,-28.32647586,-8.993373849,27.15634628,3.589233127,-1.759327839,3.171124713,1,2,2
208,63,-3,-3,6.53413134,4.180495837,46.43810888,-3.497721296,-4.515032902,3.126966127,2,2,2
209,-27,-45,59,43.79033013,3.501948483,-10.55986621,-9.78255141,0.199591531,-2.083185625,2,2,2
210,36,45,26,27.05809391,-24.53698788,-20.84604084,-5.454239688,4.111840821,0.708949493,2,2,2
211,30,-69,-15,16.71500179,47.59659657,-14.04848118,-4.094992599,-1.468278681,-6.080197855,4,3,2
212,41,20,-19,-25.2786559,-7.86290171,37.11585652,3.089716455,-3.468343743,2.539055333,1,2,2
213,39,-24,22,15.69479643,-21.6981232,32.5292425,-1.548976273,-1.55875136,3.67516851,2,2,2
214,64,-48,32,-20.03000242,-21.29841892,7.769572189,5.607890184,0.666862247,2.940955445,1,2,2
