label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,
43,2,0,15,-1911.716021,-913.3260445,-364.72047,-1769.375374,-698.0379366,595.1145649,-1612.114208,-615.8801408,-608.9867283,-1489.458783,-511.1897182,782.0831651
44,51,-53,53,1174.148574,5175.471182,146.9234566,889.4474414,4199.119909,-1173.477969,609.1216627,4148.967513,1615.399867,355.8912779,3691.319933,-2018.231515
45,-17,70,6,2971.949123,-4349.773604,-2791.862647,3007.481666,-2690.825347,2590.007317,3214.962032,-1685.534578,-2542.787778,3120.456929,-531.5037585,2868.675367
46,35,-72,28,-1406.873111,3364.98974,-209.6140314,-1041.247115,3278.488978,-425.3058467,-1135.127039,3170.925164,592.1213941,-1134.286819,2737.611091,-743.1248275
47,28,37,-17,-1979.161168,-393.4369492,-2593.362572,-1551.633955,390.7086975,2201.709728,-1454.873313,495.0808449,-1862.244502,-1388.656827,754.0309278,1786.527106
48,67,-29,25,1591.025794,4095.057188,-2891.286474,1703.764689,4590.370703,1648.49027,1538.755912,4575.705385,-1519.556378,1533.455998,4402.581636,631.2603271
49,56,3,31,1664.217216,2610.631008,-3433.385329,1303.92248,3223.910331,2615.017057,1293.069178,3180.135279,-2118.55851,839.9930762,3302.471813,1838.590474
50,57,8,-28,-2242.492149,881.2717012,-1668.608329,-2047.98827,1188.004597,1120.704373,-1926.409427,1314.39762,-1014.221479,-1775.435708,1318.671251,653.178576
51,-30,-63,37,2228.209514,1475.127159,3600.877348,1816.947723,345.3891008,-3608.471512,1776.930277,160.0912338,3639.81856,2288.89209,-602.5274611,-3625.627396
52,-6,-25,75,3679.209544,1557.361878,2092.830079,3291.852105,1121.838278,-2189.514095,3197.950819,816.5980377,2057.009516,3080.202014,524.3802167,-2177.581059
53,-33,18,-37,-858.7204792,-2451.797622,1004.95343,-948.507521,-2675.392552,-323.7075332,-515.2004388,-2097.222805,107.6922928,-397.6785966,-1945.123728,190.5445164
54,21,-69,56,685.7906576,3911.018801,2093.43292,668.028245,2507.019071,-2602.908983,505.2851882,2490.372106,2899.228131,407.9504485,2016.566748,-3061.10658
55,-33,-24,21,3612.204589,-1979.916932,3796.716888,3242.414097,-2488.881393,-2483.106264,2997.214068,-2288.839274,2371.2146,3092.020045,-2486.113534,-1913.74898
56,66,-45,2,-2141.10709,1605.484142,-1522.755817,-1734.979546,1738.416377,1398.462308,-1733.99437,1673.240715,-809.2922015,-1720.550643,1699.502575,483.4608805
57,-44,-46,-31,-2385.484233,-324.8133769,1636.065578,-2049.066908,-786.5201806,-1178.48843,-2040.771257,-626.0229612,976.1216049,-2053.376083,-926.2969666,-761.2590641
58,35,-16,10,-2036.636731,914.3355567,-2296.430744,-1595.599736,1462.441096,1915.47826,-1450.101882,1400.531118,-1779.577089,-1485.06141,1819.26002,1438.492649
