label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,,Q
57,-44,-46,-31,-32.59194155,-12.3120768,16.27909543,-27.89929816,-11.24195942,16.09753649,-27.51388248,-8.973653648,12.5208039,-28.69590775,-10.0827502,11.63473049,12
58,35,-16,10,-25.92635746,21.47840765,-29.3235106,-20.88211057,19.41769337,-25.36686794,-18.76046108,18.175989,-26.84402665,-18.52990996,22.27185588,-23.5439209,14
59,13,11,45,55.84449207,20.49615663,-14.18143783,51.01714979,17.31915175,-7.738965386,50.93760717,15.71324772,-7.486566783,43.4512972,20.46127986,-4.721302244,7
60,-18,-37,-25,-32.42844216,-12.62389905,12.89581056,-30.46389505,-10.56044734,11.82004006,-29.73146676,-12.02517376,10.209985,-29.94986903,-12.96010502,7.443864594,12
61,-36,-41,54,34.60023843,12.6271092,61.38353383,43.59316418,0.518261305,57.98167506,35.26949874,5.06587605,53.35744412,36.78062417,-0.839470741,49.78604602,2
62,60,15,20,-28.50919201,15.83079528,-40.08603623,-26.34340531,15.31611908,-36.89176932,-24.05411574,14.82226204,-32.04439936,-23.68474814,18.49627501,-28.37444049,14
63,-26,20,-6,-21.67500622,-38.14114302,-4.569795665,-22.63781371,-35.75612085,-5.787317209,-18.37952309,-35.50408307,-4.319058664,-19.10943397,-32.23580972,-9.095066044,13
64,-35,25,32,19.2435659,-46.526055,-5.716710251,15.88002281,-44.89972128,-2.455072654,17.36957581,-43.38206257,-5.248232869,14.55633611,-41.02283786,-11.86338993,1
65,51,-45,-36,-36.13910324,9.552770017,4.92317387,-32.07335726,8.354129979,7.379237589,-31.16474093,8.224346551,5.447237093,-30.44718408,6.414784598,4.911412104,3
66,7,36,-25,-21.38423138,-12.55735289,-32.31072047,-21.23226082,-9.319984664,-32.21567801,-16.42423117,-8.385499327,-28.8000204,-13.20694373,-4.372386632,-28.28541284,8
67,27,-43,-9,-37.11352949,1.189443903,7.149048879,-34.52098131,1.812170628,7.732877699,-34.28266629,0.142626521,6.519128957,-34.49184708,-1.55109129,4.952744561,3
68,36,-78,21,-14.50469933,55.22565859,8.3296266,-10.2522538,52.35604506,6.835952424,-5.721331492,46.56015425,5.977524361,-10.71223552,43.51587551,13.45551119,5
69,28,-46,69,3.579981523,54.87578322,30.01700572,4.013250625,42.84788639,30.44918623,2.29784589,44.05529897,28.29839848,3.507766803,43.80458111,32.2751947,5
70,3,39,33,50.44129883,-9.011559798,-45.00531351,45.33013459,-7.206797598,-35.52566381,40.49293785,-10.42319947,-36.59572249,39.78766228,-3.183872239,-32.02996244,8
71,63,-32,45,34.57751507,73.89196386,-14.21236356,32.59729344,66.20411254,-10.55804763,27.19542346,67.36102748,-12.21781754,27.65306652,65.59927537,-1.634298666,17
72,45,36,37,9.819934095,24.15022083,-58.89412939,4.773387435,23.56677857,-48.9211612,2.275889674,24.25596015,-44.57888382,0.548638198,24.59630977,-44.02341381,9
73,-48,-14,57,64.01813006,-16.85463578,46.4705547,60.55651072,-15.82009618,39.45228952,55.86805061,-14.94958143,40.63515428,51.72105547,-17.58317664,41.26512623,2
74,-44,-37,23,17.33199382,-37.20380227,44.33241692,16.97550563,-32.74347364,35.81073215,13.62932646,-33.9516181,32.64588816,12.95812837,-35.76902694,29.49504138,6
75,-9,39,-22,-17.05451662,-36.62362871,-13.69648203,-17.27825733,-31.93302486,-16.40348809,-13.59819292,-30.05046172,-16.06820711,-11.97184081,-27.25278036,-19.33995026,8
76,43,-35,-16,-41.48391426,12.55879486,-9.683601605,-38.4126016,11.35063528,-8.022158672,-36.60366147,7.291192736,-7.898543658,-35.12730968,5.832695954,-5.229661462,10
77,-36,-74,17,3.36033189,-11.49560231,41.60007703,6.025431622,-13.95691668,35.3949937,6.957286358,-12.1895031,35.88524214,7.984270433,-12.48628798,30.99709714,15
78,20,11,12,-31.20080432,-0.24346139,-27.69162152,-30.15336156,1.066872201,-30.58322764,-26.66752842,0.721224016,-25.65109376,-24.56134788,4.278093416,-22.95519518,11
79,19,-67,20,-28.78616274,13.65248128,32.28978015,-18.91577797,17.01406409,28.05557109,-19.76535329,14.1368532,26.4876596,-21.42359907,9.390942811,27.25449736,5
80,6,-82,6,-32.07886307,18.26306172,22.07404004,-30.50731413,13.39087041,19.29590269,-30.51638004,10.91894423,15.51906357,-27.04698298,5.946344385,17.13188576,3
81,-31,2,57,58.57593551,-37.0665838,17.24409176,46.76922424,-35.58264859,14.12478121,43.4790446,-37.1634188,16.77846376,49.77998783,-34.33769354,9.763564126,2
82,-63,-17,12,0.869359911,-55.82124489,16.55452676,-1.360660733,-45.4460888,14.83646621,1.421608872,-41.47341071,13.17715608,0.138639394,-41.73262462,6.317080931,6
83,38,57,20,26.58780394,13.88256241,-65.99216449,28.63212486,18.80849444,-59.61372894,27.57781154,19.28147869,-54.29156618,26.20572032,18.9722125,-51.0572063,9
84,51,34,-8,-17.8424551,10.126253,-33.05977082,-18.61699695,15.10519244,-31.92378024,-15.89912836,13.25571825,-32.05024703,-14.52484191,18.1628255,-31.06572139,14
85,42,-32,44,36.88769515,79.13703682,-2.805767443,32.22289579,71.6235556,2.836521665,31.02991777,70.19213939,1.405016697,32.2664246,64.17071117,14.22938981,17
86,-57,10,14,-0.546891267,-51.11382497,2.895236284,-5.677606475,-46.8683035,3.639314335,-2.371235613,-45.07373936,1.528531806,-2.410020611,-43.17493582,-5.310654872,6
87,-11,2,24,-7.481567016,-44.86751772,-9.048986458,-5.44153358,-36.74025713,-5.659339064,-1.220313895,-37.21093904,-8.448002144,-2.850390689,-33.44012325,-11.62775802,13
88,-29,-42,45,30.0536348,4.62122676,58.35229848,31.69157663,-0.787535735,59.28437368,24.67802924,2.748468624,52.11161549,24.46502342,-6.786335135,46.99595766,2
89,33,-26,-5,-38.48273403,3.346647341,-11.16962604,-33.51050347,1.921880884,-6.49229447,-30.82956823,0.205483891,-8.912762015,-29.57774673,0.892513274,-8.049176025,10
