label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE,Q
1014,205.6,144.33,58.644,-0.19438693,1.4969867,1.5572193,-0.161727772,-0.243956438,1.145255374,14.57558491,6.070214526,26.13599315,4,3
1014,191.02,144.49,56.908,-0.50855863,1.4607881,1.3453921,-0.118102517,-0.419423926,0.986240069,13.41197782,6.171047197,28.09154262,4,3
1014,234.6,144.53,67.412,0.24353205,1.1319206,2.1264679,0.37840775,0.038721337,1.213024043,13.81765692,3.968810185,24.27893792,4,3
1014,227.07,145.41,64.891,0.13721387,1.5637976,1.1277233,-0.37981108,0.008216934,1.017779553,17.64434987,4.671314635,22.47305731,4,3
1015,88.28,211.92,50.329,-2.6855555,-1.0230001,-0.016855611,1.098100616,-1.420389225,-0.226594174,-23.58632027,3.480141113,28.75036884,14,2
1015,174.94,199.27,40.362,-2.8918843,-1.030408,1.8578763,1.903660188,-1.11305452,0.278974901,-21.50421332,14.17303377,37.73223361,14,2
1015,180.45,193.69,35.248,-2.4309862,-0.43049937,1.4816353,1.363576867,-0.947706713,0.360285867,-16.59799135,13.55391413,38.26783352,14,2
1015,166.03,208.19,48.744,-3.2520683,-1.4880515,1.9653279,2.370241821,-1.247469513,0.347200263,-24.20215013,15.06372924,37.23660732,14,2
1015,161.1,203.66,44.89,-2.7893095,-0.74635226,1.3380541,1.425359865,-1.27089599,0.077827205,-19.50045887,11.93412867,36.58775413,14,2
1015,147.81,215.56,53.518,-3.6961021,-1.6976919,1.8295597,2.686801475,-1.603339234,0.381497547,-26.51722496,15.43489344,35.99016261,14,2
1015,148.47,207.8,49.821,-3.2443748,-1.1431768,1.3420234,1.787972536,-1.558628571,0.122628546,-22.75326509,11.59310593,35.45658992,14,2
1015,133.28,215.52,52.943,-3.7789762,-1.5049756,1.5005573,2.47338938,-1.753574424,0.287366251,-26.79948389,13.17382199,34.90807347,14,2
1015,132.67,207.88,51.628,-3.3537414,-1.1692261,1.1002749,1.774713845,-1.742711633,0.08567927,-24.47261792,10.38286856,34.40032994,14,2
