label;Anatomy;region_name;hemisphere
1941;Right;MNI(46:3:39);right
1942;Left;MNI(-36:-9:-39);left
1943;Left;MNI(-2:-12:-2);left
1944;Right;MNI(35:35:47);right
1945;Right;MNI(9:16:56);right
1946;Right;MNI(0:-81:11);right
1947;Left;MNI(-9:29:-14);left
1948;Left;MNI(-41:23:3);left
1949;Right;MNI(12:55:14);right
1950;Left;MNI(-24:-55:65);left
1951;Right;MNI(32:-89:-3);right
1952;Right;MNI(12:42:-14);right
1953;Right;MNI(48:-52:28);right
1954;Right;MNI(32:11:-23);right
1955;Left;MNI(-6:-75:-20);left
1956;Left;MNI(-48:-28:44);left
1957;Right;MNI(58:-11:49);right
1958;Right;MNI(5:-60:-45);right
1959;Left;MNI(-3:27:32);left
1960;Right;MNI(56:10:-14);right
1961;Right;MNI(2:15:49);right
1962;Left;MNI(-45:-50:11);left
1963;Right;MNI(14:-72:17);right
1964;Right;MNI(48:-77:14);right
1965;Right;MNI(54:-42:8);right
1966;Left;MNI(-23:9:-5);left
1967;Left;MNI(-60:-45:-5);left
1968;Right;MNI(35:-14:3);right
1969;Right;MNI(20:48:41);right
1970;Right;MNI(51:18:22);right
1971;Left;MNI(-2:-1:-4);left
1972;Left;MNI(-12:-64:2);left
1973;Right;MNI(5:-16:40);right
1974;Left;MNI(-53:-26:-16);left
1975;Left;MNI(-33:-48:-38);left
1976;Left;MNI(-12:-2:-17);left
1977;Right;MNI(19:14:1);right
1978;Right;MNI(42:-5:62);right
1979;Right;MNI(51:-30:20);right
1980;Right;MNI(55:-58:-33);right
1981;Right;MNI(37:-82:33);right
1982;Right;MNI(8:-43:49);right
1983;Left;MNI(-57:-35:3);left
1984;Left;MNI(-4:-18:-24);left
1985;Right;MNI(47:-66:24);right
1986;Right;MNI(55:-27:-25);right
1987;Right;MNI(11:41:30);right
1988;Left;MNI(-55:-43:46);left
1989;Right;MNI(8:-44:-24);right
1990;Right;MNI(8:-61:60);right
1991;Left;MNI(-39:-35:52);left
1992;Right;MNI(53:0:-40);right
1993;Left;MNI(-33:22:47);left
1994;Left;MNI(-28:18:-33);left
1995;Right;MNI(8:-53:5);right
1996;Right;MNI(27:-10:-40);right
1997;Right;MNI(1:-60:-42);right
1998;Right;MNI(20:-32:-12);right
1999;Left;MNI(-40:-4:0);left
2000;Left;MNI(-1:35:-7);left
2001;Left;MNI(-31:-51:44);left
2002;Left;MNI(-42:-78:9);left
2003;Left;MNI(-37:37:21);left
2004;Right;MNI(11:18:-21);right
2005;Right;MNI(54:-71:12);right
2006;Right;MNI(3:-58:1);right
2007;Right;MNI(47:-24:11);right
2008;Left;MNI(-30:62:15);left
2009;Right;MNI(0:16:32);right
2010;Right;MNI(61:-36:4);right
2011;Left;MNI(-18:-61:13);left
2012;Right;MNI(52:-48:39);right
2013;Right;MNI(2:-34:57);right
2014;Left;MNI(-26:44:30);left
2015;Right;MNI(18:-56:24);right
2016;Right;MNI(15:-41:42);right
2017;Left;MNI(-33:-63:-21);left
2018;Right;MNI(33:-55:-18);right
2019;Right;MNI(51:48:2);right
2020;Right;MNI(56:3:-34);right
2021;Right;MNI(26:-93:4);right
2022;Right;MNI(12:23:37);right
2023;Left;MNI(-5:-33:-35);left
2024;Left;MNI(-35:9:41);left
2025;Left;MNI(-32:12:-24);left
2026;Left;MNI(-21:-70:47);left
2027;Right;MNI(10:-12:62);right
2028;Left;MNI(-30:-15:10);left
2029;Left;MNI(-44:9:-38);left
2030;Right;MNI(40:-3:4);right
2031;Left;MNI(-34:-57:-16);left
2032;Right;MNI(38:11:-4);right
2033;Right;MNI(7:43:23);right
2034;Right;MNI(12:-18:41);right
2035;Right;MNI(57:-26:47);right
2036;Right;MNI(15:-46:66);right
2037;Right;MNI(1:-13:-12);right
2038;Left;MNI(-18:-78:-15);left
2039;Right;MNI(0:-18:14);right
2040;Left;MNI(-23:-42:-15);left
2041;Right;MNI(49:46:17);right
2042;Right;MNI(66:-20:6);right
2043;Right;MNI(9:-1:63);right
2044;Right;MNI(12:18:7);right
